סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
111393,נועם בנות ק.משה,ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,ממלכתי דתי,80,80,100%,79,99%,79,99%
246041,אהבת ישראל,ירושלים,העיר ירושלים,יהודי,שירה יזדי,ממלכתי דתי,27,23,85%,23,85%,23,85%
430074,מקור התקווה,ירושלים,העיר ירושלים,יהודי,שמחה שגית קליימן,ממלכתי,9,0,0%,0,0%,0,0%
140012,אולפנא תורנית חורב,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,133,122,92%,116,87%,114,86%
770727,"אולפנת בנ""ע טל רמות",ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,59,59,100%,55,93%,50,85%
140491,אולפנת צביה ירושלים,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,32,32,100%,29,91%,28,88%
141549,אור תורה סטון לבנות,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,131,131,100%,108,82%,98,75%
170514,אורט פלך בנים ספניאן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,90,75,83%,33,37%,30,33%
160598,ארץ הצבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,32,22,69%,4,13%,4,13%
442855,הרטמן בנות,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,89,89,100%,61,69%,57,64%
141754,ישיבה תיכ' תורה ומדע,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,33,33,100%,33,100%,33,100%
144758,"ישיבת בנ""ע פסגת זאב",ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,45,34,76%,19,42%,19,42%
615948,ישיבת מקור חיים,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,100,4,4%,2,2%,1,1%
160259,ליבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,57,42,74%,36,63%,32,56%
141390,מדרשיית עלמא אמונה,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,91,89,98%,55,60%,39,43%
140277,מדרשיית עמליה,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,41,25,61%,18,44%,14,34%
682351,מסע,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,57,57,100%,39,68%,30,53%
144220,תורני נסויי הרטמן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ממלכתי דתי,67,63,94%,58,87%,54,81%
796581,טומשין ירושלים יסודי בנות,ירושלים,העיר ירושלים,ערבי, ,ממלכתי,21,0,0%,0,0%,0,0%
796516,טומשין ירושלים יסודי בנים,ירושלים,העיר ירושלים,ערבי, ,ממלכתי,26,0,0%,0,0%,0,0%
616508,אלסופרא,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,86,29,34%,20,23%,17,20%
616961,ארתיקאא לשפות,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,36,0,0%,0,0%,0,0%
674564,ב''ס עהדונא,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,58,0,0%,0,0%,0,0%
747345,"בי""ס אלמוסתקבל",ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,32,0,0%,0,0%,0,0%
511808,"בי""ס יסודי מדל איסט",ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,30,0,0%,0,0%,0,0%
747360,בית ספר יסודי אלסלאם,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,58,0,0%,0,0%,0,0%
746529,בית ספר יסודי אלפארו,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,45,0,0%,0,0%,0,0%
430355,בית ספר יסודי אלפגר אלגדיד,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,55,0,0%,0,0%,0,0%
440685,בית שכונת זגיר,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,69,0,0%,0,0%,0,0%
430363,גיל אלמוסתקבל,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,35,0,0%,0,0%,0,0%
148288,כפר עקב,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,119,13,11%,4,3%,2,2%
179754,כפר עקב חדש,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,85,84,99%,82,96%,81,95%
118331,מולויה לבנות,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,47,43,91%,35,74%,34,72%
118307,עמריה,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,47,30,64%,29,62%,28,60%
148254,שועפט בנות ב',ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,114,31,27%,25,22%,23,20%
118281,שעפט לבנות א,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,104,10,10%,0,0%,0,0%
338483,אבו חאמד אלגזאלי,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,31,0,0%,0,0%,0,0%
118042,אום טובא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,99,48,48%,41,41%,41,41%
511550,אום טובה לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,97,0,0%,0,0%,0,0%
118067,אחמד סאמח אלחלדי,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,60,2,3%,0,0%,0,0%
118299,אלתורי לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,101,59,58%,55,54%,47,47%
267955,"ביה""ס אמליסון",ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,22,0,0%,0,0%,0,0%
478909,בית ספר יסודי נור אל,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,20,0,0%,0,0%,0,0%
430439,בית ספר רואא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,42,0,0%,0,0%,0,0%
743369,טרה סנטה בית חנינא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,16,14,88%,11,69%,7,44%
238501,יסודי אלאימאן בנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,58,0,0%,0,0%,0,0%
758227,יסודי אלאימאן בנים,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,81,0,0%,0,0%,0,0%
238493,יסודי אלאימאן לבנים,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,20,0,0%,0,0%,0,0%
