סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
540500,"ע""ש יצחק נבון מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,181,168,93%,150,83%,150,83%
144675,"ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,198,182,92%,182,92%,181,91%
144741,"ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,184,167,91%,165,90%,163,89%
144683,עירוני א',מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,234,221,94%,218,93%,217,93%
237354,תיכון יחד,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,136,136,100%,135,99%,134,99%
144329,תיכון מכבים רעות,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,181,172,95%,171,94%,171,94%
144717,"אולפנת בנ""ע אורות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ממלכתי דתי,131,114,87%,76,58%,64,49%
442780,"אמי""ת בנות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ממלכתי דתי,135,120,89%,120,89%,119,88%
450270,"אמי""ת בנים מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ממלכתי דתי,117,101,86%,95,81%,94,80%
165852,"ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ממלכתי דתי,198,188,95%,170,86%,165,83%
143404,אהל שילה בנים,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,61,26,43%,26,43%,26,43%
512459,הניסויי כפר אדומים,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,106,37,35%,29,27%,29,27%
113787,כוכב יעקב בנות,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,23,13,57%,11,48%,11,48%
112516,מבוא חורון,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,22,15,68%,13,59%,11,50%
611871,מבוא חורון בנות,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,40,35,88%,33,83%,31,78%
112151,מצפה יריחו,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,21,4,19%,4,19%,4,19%
140970,אולפנא עופרה,מטה בנימין,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,136,130,96%,114,84%,107,79%
641480,"אולפנת בנ""ע שילה",מטה בנימין,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,112,96,86%,86,77%,78,70%
641498,"ישיבה תיכונית בנ""ע עלי",מטה בנימין,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,65,65,100%,45,69%,40,62%
140939,"ישיבת בנ""ע מטה בנימין",מטה בנימין,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,83,17,20%,5,6%,3,4%
681288,תיכון לביא,מטה בנימין,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,46,46,100%,39,85%,35,76%
673822,"התיכון הנכו""ן",מטה בנימין,ירושלים,יהודי,ציפי יעקב,ממלכתי,134,113,84%,68,51%,57,43%
186908,אולפנא בני עקיבא נריה,מטה בנימין,ירושלים,יהודי,תמר אודס,ממלכתי דתי,111,104,94%,86,77%,84,76%
144766,"ישיבת בנ""ע נר תמיד חשמונאים",מטה בנימין,ירושלים,יהודי,תמר אודס,ממלכתי דתי,102,83,81%,67,66%,61,60%
722298,בית ספר יחיאל,מטה יהודה,ירושלים,יהודי,ליאת אלהרר כהן,ממלכתי,19,0,0%,0,0%,0,0%
238121,אולפנת נוגה,מטה יהודה,ירושלים,יהודי,תמר אודס,ממלכתי דתי,131,111,85%,101,77%,98,75%
442822,ברנקו וייס עין נקובה,מטה יהודה,ירושלים,ערבי,ציפי יעקב,ממלכתי,84,78,93%,66,79%,62,74%
141176,אולפנת צביה מ. אדומים,מעלה אדומים,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,74,64,86%,49,66%,48,65%
160549,"אמי""ת איתן",מעלה אדומים,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,85,85,100%,51,60%,38,45%
144428,ישיבת צביה מ.אדומים,מעלה אדומים,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,66,59,89%,53,80%,53,80%
338616,"שש שנתי אמי""ת בנות",מעלה אדומים,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,77,67,87%,27,35%,22,29%
140863,עמל דקל וילנאי,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,ממלכתי,178,177,99%,138,78%,126,71%
170803,עמל תעופה וחלל,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,ממלכתי,184,184,100%,139,76%,139,76%
420018,על יסודי צור הדסה,צור הדסה,ירושלים,יהודי,ציפי יעקב,ממלכתי,135,113,84%,89,66%,89,66%
111450,"גוונים מ""מ",קרית ארבע,ירושלים,יהודי,דורית מרגלית רזיאל אלישר,ממלכתי,11,11,100%,11,100%,11,100%
140665,אולפנא לבנות,קרית ארבע,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,77,75,97%,72,94%,71,92%
140889,"חט""ב בנים קרית ארבע",קרית ארבע,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,72,39,54%,56,78%,56,78%
