סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
668962,אלביאן מקיף,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,51,48,94%,44,86%,43,84%
198085,"חט""ב ראס אל-עמוד",ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,135,1,1%,0,0%,0,0%
715623,מקיף אלסלעה,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,88,88,100%,46,52%,42,48%
178178,סאחורה מכין בנות,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,185,170,92%,169,91%,169,91%
440784,"ראס אלעמוד ע""ס לבנות",ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,111,96,86%,39,35%,39,35%
198192,תיכון צור באהר,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,130,100,77%,96,74%,96,74%
148080,מקיף אבו גוש,אבו גוש,ירושלים,ערבי,ציפי יעקב,ממלכתי,78,72,92%,60,77%,59,76%
114249,אורות עציון בנות,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,63,53,84%,50,79%,50,79%
114173,אורות עציון בנים,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,96,30,31%,13,14%,11,11%
114058,אריאל,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,29,27,93%,26,90%,26,90%
112250,עשה חייל,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,61,6,10%,4,7%,4,7%
113324,בית-אל בנים,בית אל,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,73,49,67%,49,67%,49,67%
650523,אולפנת בית אל,בית אל,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,82,80,98%,74,90%,73,89%
338509,"חט""ב לבונה",בית אריה,ירושלים,יהודי,ציפי יעקב,ממלכתי,76,68,89%,67,88%,67,88%
615971,"חב""ד בנות",בית שמש,ירושלים,יהודי,מרים ויצמן,ממלכתי דתי,32,0,0%,0,0%,0,0%
160432,ברנקו וייס מקיף בית שמש,בית שמש,ירושלים,יהודי,ציפי יעקב,ממלכתי,159,147,92%,123,77%,119,75%
353599,אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,51,43,84%,31,61%,31,61%
460667,אולפנת אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,65,65,100%,56,86%,53,82%
193185,אולפנת שעלי תורה,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,87,77,89%,48,55%,47,54%
144600,ישיבה שעלי תורה,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,92,80,87%,63,68%,60,65%
338418,עתיד דביר בנים,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,79,74,94%,66,84%,65,82%
140202,עתיד שחר בית שמש,בית שמש,ירושלים,יהודי,תמר אודס,ממלכתי דתי,58,46,79%,39,67%,39,67%
141002,"חט""ב יצחק רבין",גבעת זאב,ירושלים,יהודי,ציפי יעקב,ממלכתי,27,27,100%,20,74%,18,67%
615955,"אח""י תקוע 2",גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,113,0,0%,0,0%,0,0%
417832,חן נריה,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,62,62,100%,62,100%,62,100%
111328,כרמי יהודה,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,83,67,81%,66,80%,65,78%
511618,נווה הראל,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,46,0,0%,0,0%,0,0%
616151,נווה השחר,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,64,53,83%,55,86%,55,86%
759134,סדנת שילוב יובלים,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,6,0,0%,0,0%,0,0%
512509,קדם,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,42,35,83%,32,76%,30,71%
186395,ראשית,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ממלכתי דתי,51,0,0%,0,0%,0,0%
140855,"חט""ב מבשרת",מבשרת ציון,ירושלים,יהודי,ציפי יעקב,ממלכתי,261,238,91%,182,70%,179,69%
188086,"דמוקרטי ע""ש נדב",מודיעין מכבים רעות,ירושלים,יהודי,טל כהן,ממלכתי,34,4,12%,0,0%,0,0%
344911,אורט עירוני ד,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,205,195,95%,191,93%,189,92%
540500,"ע""ש יצחק נבון מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,181,98,54%,91,50%,91,50%
144675,"ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,198,181,91%,178,90%,176,89%
144741,"ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,184,171,93%,152,83%,146,79%
144683,עירוני א',מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,234,221,94%,215,92%,210,90%
237354,תיכון יחד,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,136,133,98%,114,84%,114,84%
144329,תיכון מכבים רעות,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ממלכתי,181,168,93%,144,80%,142,78%
144717,"אולפנת בנ""ע אורות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ממלכתי דתי,131,101,77%,88,67%,87,66%
